statistic,month_text,coicop_item,value
Consumer Price Index,2021 October,"Milk, cheese and eggs",81.1
Consumer Price Index,2021 October,Fresh whole milk,77.7
Consumer Price Index,2021 October,Yoghurt,82.8
Consumer Price Index,2021 October,Cheese and curd,82.9
Consumer Price Index,2021 October,Eggs,79.2
Consumer Price Index,2021 November,"Milk, cheese and eggs",81
Consumer Price Index,2021 November,Fresh whole milk,77.4
Consumer Price Index,2021 November,Yoghurt,82.2
Consumer Price Index,2021 November,Cheese and curd,83.3
Consumer Price Index,2021 November,Eggs,78.9
Consumer Price Index,2021 December,"Milk, cheese and eggs",81.7
Consumer Price Index,2021 December,Fresh whole milk,77.6
Consumer Price Index,2021 December,Yoghurt,85.1
Consumer Price Index,2021 December,Cheese and curd,83.9
Consumer Price Index,2021 December,Eggs,79.1
Consumer Price Index,2022 January,"Milk, cheese and eggs",81.7
Consumer Price Index,2022 January,Fresh whole milk,79.5
Consumer Price Index,2022 January,Yoghurt,81
Consumer Price Index,2022 January,Cheese and curd,83.7
Consumer Price Index,2022 January,Eggs,80.1
Consumer Price Index,2022 February,"Milk, cheese and eggs",83.2
Consumer Price Index,2022 February,Fresh whole milk,82.3
Consumer Price Index,2022 February,Yoghurt,83.1
Consumer Price Index,2022 February,Cheese and curd,84.5
Consumer Price Index,2022 February,Eggs,80.3
Consumer Price Index,2022 March,"Milk, cheese and eggs",84.4
Consumer Price Index,2022 March,Fresh whole milk,84.1
Consumer Price Index,2022 March,Yoghurt,84.2
Consumer Price Index,2022 March,Cheese and curd,85.1
Consumer Price Index,2022 March,Eggs,82.5
Consumer Price Index,2022 April,"Milk, cheese and eggs",85.4
Consumer Price Index,2022 April,Fresh whole milk,84.3
Consumer Price Index,2022 April,Yoghurt,85.7
Consumer Price Index,2022 April,Cheese and curd,86.3
Consumer Price Index,2022 April,Eggs,84.6
Consumer Price Index,2022 May,"Milk, cheese and eggs",85.7
Consumer Price Index,2022 May,Fresh whole milk,85.6
Consumer Price Index,2022 May,Yoghurt,85.4
Consumer Price Index,2022 May,Cheese and curd,85.9
Consumer Price Index,2022 May,Eggs,84.7
Consumer Price Index,2022 June,"Milk, cheese and eggs",88.8
Consumer Price Index,2022 June,Fresh whole milk,89.7
Consumer Price Index,2022 June,Yoghurt,88.4
Consumer Price Index,2022 June,Cheese and curd,89.8
Consumer Price Index,2022 June,Eggs,85.3
Consumer Price Index,2022 July,"Milk, cheese and eggs",91.9
Consumer Price Index,2022 July,Fresh whole milk,94.1
Consumer Price Index,2022 July,Yoghurt,92.4
Consumer Price Index,2022 July,Cheese and curd,91
Consumer Price Index,2022 July,Eggs,85.8
Consumer Price Index,2022 August,"Milk, cheese and eggs",92.9
Consumer Price Index,2022 August,Fresh whole milk,95.2
Consumer Price Index,2022 August,Yoghurt,93.3
Consumer Price Index,2022 August,Cheese and curd,91.5
Consumer Price Index,2022 August,Eggs,85.9
Consumer Price Index,2022 September,"Milk, cheese and eggs",93.4
Consumer Price Index,2022 September,Fresh whole milk,96.3
Consumer Price Index,2022 September,Yoghurt,93.3
Consumer Price Index,2022 September,Cheese and curd,91.7
Consumer Price Index,2022 September,Eggs,86
Consumer Price Index,2022 October,"Milk, cheese and eggs",95.6
Consumer Price Index,2022 October,Fresh whole milk,97.4
Consumer Price Index,2022 October,Yoghurt,94.7
Consumer Price Index,2022 October,Cheese and curd,94
Consumer Price Index,2022 October,Eggs,93.2
Consumer Price Index,2022 November,"Milk, cheese and eggs",97.9
Consumer Price Index,2022 November,Fresh whole milk,102.8
Consumer Price Index,2022 November,Yoghurt,95.4
Consumer Price Index,2022 November,Cheese and curd,95.1
Consumer Price Index,2022 November,Eggs,95.4
